20 4
0 1 22
0 2 31
0 3 46
0 4 54
0 5 61
0 6 71
0 7 82
0 8 94
0 9 10
0 10 23
0 11 33
0 12 44
0 13 55
0 14 62
0 15 73
0 16 83
0 17 92
0 18 34
0 19 16
1 2 33
1 3 45
1 4 53
1 5 10
1 6 72
1 7 82
1 8 53
1 9 12
1 10 32
1 11 52
1 12 66
1 13 27
1 14 23
1 15 53
1 16 32
1 17 12
1 18 21
1 19 23
2 3 45
2 4 51
2 5 65
2 6 72
2 7 86
2 8 91
2 9 63
2 10 32
2 11 52
2 12 66
2 13 27
2 14 23
2 15 53
2 16 32
2 17 12
2 18 21
2 19 23
3 4 53
3 5 66
3 6 76
3 7 83
3 8 93
3 9 10
3 10 32
3 11 52
3 12 66
3 13 27
3 14 23
3 15 53
3 16 32
3 17 12
3 18 21
3 19 23
4 5 64
4 6 74
4 7 84
4 8 96
4 9 10
4 10 32
4 11 52
4 12 66
4 13 27
4 14 23
4 15 53
4 16 32
4 17 12
4 18 21
4 19 23
5 6 73
5 7 86
5 8 94
5 9 10
5 10 32
5 11 52
5 12 66
5 13 27
5 14 23
5 15 53
5 16 32
5 17 12
5 18 21
5 19 23
6 7 86
6 8 92
6 9 10
6 10 32
6 11 52
6 12 66
6 13 27
6 14 23
6 15 53
6 16 32
6 17 12
6 18 21
6 19 23
7 8 97
7 9 10
7 10 32
7 11 52
7 12 66
7 13 27
7 14 23
7 15 53
7 16 32
7 17 12
7 18 21
7 19 23
8 9 10
8 10 32
8 11 52
8 12 66
8 13 27
8 14 27
8 15 53
8 16 32
8 17 12
8 18 28
8 19 28
9 10 32
9 11 52
9 12 24
9 13 27
9 14 27
9 15 41
9 16 32
9 17 12
9 18 28
9 19 52
10 11 23
10 12 51
10 13 73
10 14 61
10 15 34
10 16 77
10 17 74
10 18 61
10 19 53
11 12 51
11 13 73
11 14 61
11 15 77
11 16 77
11 17 99
11 18 61
11 19 71
12 13 53
12 14 61
12 15 42
12 16 77
12 17 66
12 18 61
12 19 12
13 14 61
13 15 22
13 16 77
13 17 66
13 18 51
13 19 12
14 15 42
14 16 67
14 17 66
14 18 61
14 19 12
15 16 57
15 17 66
15 18 61
15 19 12
16 17 36
16 18 61
16 19 12
17 18 41
17 19 34
18 19 88
